[texto72] [mistério] [em]
[pm] [de] [11º]
[de] [11º] [bpm]
[11º] [bpm] [encontrar]
[bpm] [encontrar] [em]
[encontrar] [em] [cena]
[em] [cena] [de]
[cena] [de] [crime]
[de] [crime] [munição]
[crime] [munição] [deflagrar]
[munição] [deflagrar] [de]
[deflagrar] [de] [calibre]
[de] [calibre] [crime]
[calibre] [crime] [ocorrer]
[crime] [ocorrer] [em]
[ocorrer] [em] [avenida=dos=prazeres]
[em] [avenida=dos=prazeres] [vila=jardim]
[avenida=dos=prazeres] [vila=jardim] [igor=giovani=proteus]
[vila=jardim] [igor=giovani=proteus] [ano]
[igor=giovani=proteus] [ano] [com]
[ano] [com] [passagem]
[com] [passagem] [por]
[passagem] [por] [tráfico]
[por] [tráfico] [homicídio]
[tráfico] [homicídio] [estar]
[homicídio] [estar] [em]
[estar] [em] [banco]
[em] [banco] [de]
[banco] [de] [motorista]
[de] [motorista] [receber]
[motorista] [receber] [grande]
[receber] [grande] [quantidade]
[grande] [quantidade] [de]
[quantidade] [de] [tiro]
[de] [tiro] [em]
[tiro] [em] [banco]
[em] [banco] [de]
[banco] [de] [passageiro]
[de] [passageiro] [estar]
[passageiro] [estar] [william=selister=pereira]
[estar] [william=selister=pereira] [também]
[william=selister=pereira] [também] [ano]
[também] [ano] [morador]
[ano] [morador] [de]
[morador] [de] [região]
[de] [região] [sem=antecedentes]
[região] [sem=antecedentes] [criminal]
[sem=antecedentes] [criminal] [polícia]
[criminal] [polícia] [acreditar]
[polícia] [acreditar] [igor]
[acreditar] [igor] [ser]
[igor] [ser] [alvo]
[ser] [alvo] [de]
[alvo] [de] [criminoso]
[de] [criminoso] [investigar]
[criminoso] [investigar] [ligação]
[investigar] [ligação] [entre]
[ligação] [entre] [vítima]

[texto75] [população] [de]
[população] [de] [olho]
[de] [olho] [denúncia]
[olho] [denúncia] [de]
[denúncia] [de] [tráfico]
[de] [tráfico] [a]
[tráfico] [a] [denarc]
[a] [denarc] [crescer]
[denarc] [crescer] [%]
[crescer] [%] [mudança]
[%] [mudança] [em]
[mudança] [em] [pergunta]
[em] [pergunta] [de]
[pergunta] [de] [atendente]
[de] [atendente] [rapidez]
[atendente] [rapidez] [em]
[rapidez] [em] [hora]
[em] [hora] [de]
[hora] [de] [checo]
[de] [checo] [ser]
[checo] [ser] [de]
[ser] [de] [fator]
[de] [fator] [apontar]
[fator] [apontar] [para]
[apontar] [para] [aumento]
[para] [aumento] [carolina=rocha]
[aumento] [carolina=rocha] [carolina.rocha@diariogaucho.com.br]
[carolina=rocha] [carolina.rocha@diariogaucho.com.br] [agente]
[carolina.rocha@diariogaucho.com.br] [agente] [de]
[agente] [de] [denarc]
[de] [denarc] [prender]
[denarc] [prender] [homem]
[prender] [homem] [de]
[homem] [de] [ano]
[de] [ano] [próximo=a]
[ano] [próximo=a] [vila=dos=papeleiros]
[próximo=a] [vila=dos=papeleiros] [com]
[vila=dos=papeleiros] [com] [pedra]
[com] [pedra] [de]
[pedra] [de] [crack]
[de] [crack] [droga]
[crack] [droga] [costumar]
[droga] [costumar] [vender]
[costumar] [vender] [perto=de]
[vender] [perto=de] [escola]
[perto=de] [escola] [estadual]
[escola] [estadual] [hora]
[estadual] [hora] [depois]
[hora] [depois] [rapaz]
[depois] [rapaz] [de]
[rapaz] [de] [ano]
[de] [ano] [ser]
[ano] [ser] [flagrar]
[ser] [flagrar] [em]
[flagrar] [em] [de]
[em] [de] [muito]
[de] [muito] [movimentar]
[muito] [movimentar] [ponto]
[movimentar] [ponto] [de]
[ponto] [de] [centro]
[de] [centro] [com]
[centro] [com] [mais=de]
[com] [mais=de] [pedra]
[mais=de] [pedra] [de]
[pedra] [de] [crack]
[de] [crack] [dinheiro]
[crack] [dinheiro] [caso]
[dinheiro] [caso] [ter]
[caso] [ter] [em]
[ter] [em] [comum]
[em] [comum] [partir]
[comum] [partir] [de]
[partir] [de] [denúncia]
[de] [denúncia] [por]
[denúncia] [por] [telefone]
[por] [telefone] [fazer]
[telefone] [fazer] [por]
[fazer] [por] [população]
[por] [população] [ligação]
[população] [ligação] [para]
[ligação] [para] [conforme]
[para] [conforme] [órgão]
[conforme] [órgão] [subir]
[órgão] [subir] [%]
[subir] [%] [ano]
[%] [ano] [em=relação=a]
[ano] [em=relação=a] [ano]
[em=relação=a] [ano] [passado]
[ano] [passado] [polícia=civil]
[passado] [polícia=civil] [creditar]
[polícia=civil] [creditar] [aumento]
[creditar] [aumento] [a]
[aumento] [a] [encorajamento]
[a] [encorajamento] [de]
[encorajamento] [de] [população]
[de] [população] [rapidez]
[população] [rapidez] [em]
[rapidez] [em] [hora]
[em] [hora] [de]
[hora] [de] [checar]
[de] [checar] [conforme]
[checar] [conforme] [delegado]
[conforme] [delegado] [mário=souza]
[delegado] [mário=souza] [responsável]
[mário=souza] [responsável] [por]
[responsável] [por] [prisão]
[por] [prisão] [fazer]
[prisão] [fazer] [em]
[fazer] [em] [centro=da=capital]
[em] [centro=da=capital] [em]
[centro=da=capital] [em] [final]
[em] [final] [de]
[final] [de] [outubro]
[de] [outubro] [ano]
[outubro] [ano] [haver]
[ano] [haver] [aumento]
[haver] [aumento] [em]
[aumento] [em] [captura]
[em] [captura] [de]
[captura] [de] [traficante]
[de] [traficante] [investigação]
[traficante] [investigação] [começar]
[investigação] [começar] [com]
[começar] [com] [denúncia]
[com] [denúncia] [haver]
[denúncia] [haver] [informação]
[haver] [informação] [checar]
[informação] [checar] [confirmar]
[checar] [confirmar] [em]
[confirmar] [em] [dia]
[em] [dia] [servir]
[dia] [servir] [para]
[servir] [para] [iniciar]
[para] [iniciar] [grande]
[iniciar] [grande] [investigação]
[grande] [investigação] [explicar]
[investigação] [explicar] [mário]
[explicar] [mário] [levantamento]
[mário] [levantamento] [apontar]
[levantamento] [apontar] [aumento]
[apontar] [aumento] [ser]
[aumento] [ser] [fazer]
[ser] [fazer] [por]
[fazer] [por] [divisão=de=informação=criminal]
[por] [divisão=de=informação=criminal] [dic]
[divisão=de=informação=criminal] [dic] [de]
[dic] [de] [denarc]
[de] [denarc] [comparar]
[denarc] [comparar] [dado]
[comparar] [dado] [até]
[dado] [até] [outubro]
[até] [outubro] [de]
[outubro] [de] [ano]
[de] [ano] [mudança]
[ano] [mudança] [em]
[mudança] [em] [forma]
[em] [forma] [de]
[forma] [de] [perguntar]
[de] [perguntar] [acreditar]
[perguntar] [acreditar] [aumento]
[acreditar] [aumento] [dar]
[aumento] [dar] [também]
[dar] [também] [por=causa=de]
[também] [por=causa=de] [mudança]
[por=causa=de] [mudança] [em]
[mudança] [em] [pergunta]
[em] [pergunta] [fazer]
[pergunta] [fazer] [a]
[fazer] [a] [denunciante]
[a] [denunciante] [explicar]
[denunciante] [explicar] [diretor]
[explicar] [diretor] [de]
[diretor] [de] [divisão=de=informação=criminal]
[de] [divisão=de=informação=criminal] [dic]
[divisão=de=informação=criminal] [dic] [de]
[dic] [de] [denarc]
[de] [denarc] [delegar]
[denarc] [delegar] [márcio=moreno]
[delegar] [márcio=moreno] [a=menos]
[márcio=moreno] [a=menos] [de]
[a=menos] [de] [ano]
[de] [ano] [haver]
[ano] [haver] [reformulação]
[haver] [reformulação] [em]
[reformulação] [em] [questionário]
[em] [questionário] [fazer]
[questionário] [fazer] [por]
[fazer] [por] [atendente]
[por] [atendente] [de]
[atendente] [de] [em]
[de] [em] [local]
[em] [local] [ter]
[local] [ter] [nome]
[ter] [nome] [de]
[nome] [de] [rua]
[de] [rua] [número]
[rua] [número] [de]
[número] [de] [casa]
[de] [casa] [comércio]
[casa] [comércio] [ser]
[comércio] [ser] [insuficiente]
[ser] [insuficiente] [perguntar]
[insuficiente] [perguntar] [detalhe]
[perguntar] [detalhe] [de]
[detalhe] [de] [imóvel]
[de] [imóvel] [de]
[imóvel] [de] [movimentação]
[de] [movimentação] [dar]
[movimentação] [dar] [informação]
[dar] [informação] [para]
[informação] [para] [policial]
[para] [policial] [investigar]
[policial] [investigar] [completar]
[investigar] [completar] [márcio]
[completar] [márcio] [segundo]
[márcio] [segundo] [policial]
[segundo] [policial] [aumento]
[policial] [aumento] [de]
[aumento] [de] [encorajamento]
[de] [encorajamento] [de]
[encorajamento] [de] [população]
[de] [população] [em]
[população] [em] [denunciar]
[em] [denunciar] [fator]
[denunciar] [fator] [para]
[fator] [para] [crescimento]
[para] [crescimento] [de]
[crescimento] [de] [denúncia]
[de] [denúncia] [estar]
[denúncia] [estar] [ligar]
[estar] [ligar] [diretamente]
[ligar] [diretamente] [a]
[diretamente] [a] [sensação]
[a] [sensação] [de]
[sensação] [de] [informação]
[de] [informação] [estar]
[informação] [estar] [ser]
[estar] [ser] [checar]
[ser] [checar] [traficante]
[checar] [traficante] [prender]
[traficante] [prender] [número]
[prender] [número] [de]
[número] [de] [denarc]
[de] [denarc] [denúncia]
[denarc] [denúncia] [média]
[denúncia] [média] [mensal]
[média] [mensal] [denúncia]
[mensal] [denúncia] [média]
[denúncia] [média] [mensal]
[média] [mensal] [até]
[mensal] [até] [outubro]
[até] [outubro] [denúncia]
[outubro] [denúncia] [média]
[denúncia] [média] [mensal]

[texto76] [violência=garota] [de]
[violência=garota] [de] [ano]
[de] [ano] [ser]
[ano] [ser] [matar]
[ser] [matar] [a]
[matar] [a] [facada]
[a] [facada] [em]
[facada] [em] [imbé]
[em] [imbé] [em]
[imbé] [em] [litoral=norte=suspeita=da=polícia=civil]
[em] [litoral=norte=suspeita=da=polícia=civil] [ser]
[litoral=norte=suspeita=da=polícia=civil] [ser] [de]
[ser] [de] [crime]
[de] [crime] [ter]
[crime] [ter] [motivação]
[ter] [motivação] [passional]
[motivação] [passional] [carolina=rocha]
[passional] [carolina=rocha] [carolina.rocha@diariogaucho.com.br]
[carolina=rocha] [carolina.rocha@diariogaucho.com.br] [crime]
[carolina.rocha@diariogaucho.com.br] [crime] [brutal]
[crime] [brutal] [chocar]
[brutal] [chocar] [morador]
[chocar] [morador] [de]
[morador] [de] [balneário=albatroz]
[de] [balneário=albatroz] [em]
[balneário=albatroz] [em] [imbé]
[em] [imbé] [em]
[imbé] [em] [litoral=norte]
[em] [litoral=norte] [em]
[litoral=norte] [em] [noite]
[em] [noite] [de]
[noite] [de] [quarta-feira]
[de] [quarta-feira] [jovem]
[quarta-feira] [jovem] [de]
[jovem] [de] [ano]
[de] [ano] [ser]
[ano] [ser] [encontrar]
[ser] [encontrar] [matar]
[encontrar] [matar] [com]
[matar] [com] [diverso]
[com] [diverso] [facada]
[diverso] [facada] [em]
[facada] [em] [pescoço]
[em] [pescoço] [crime]
[pescoço] [crime] [acontecer]
[crime] [acontecer] [em]
[acontecer] [em] [casa]
[em] [casa] [onde]
[casa] [onde] [viver]
[onde] [viver] [com]
[viver] [com] [filho]
[com] [filho] [menino]
[filho] [menino] [de]
[menino] [de] [ano]
[de] [ano] [suspeito]
[ano] [suspeito] [de]
[suspeito] [de] [polícia=civil]
[de] [polícia=civil] [ser]
[polícia=civil] [ser] [de]
[ser] [de] [tratar]
[de] [tratar] [de]
[tratar] [de] [crime]
[de] [crime] [passional]
[crime] [passional] [caso]
[passional] [caso] [menino]
[caso] [menino] [ser]
[menino] [ser] [matar]
[ser] [matar] [enquanto]
[matar] [enquanto] [brincar]
[enquanto] [brincar] [com]
[brincar] [com] [arma=de=fogo]
[com] [arma=de=fogo] [em]
[arma=de=fogo] [em] [alvorada]
[em] [alvorada] [jovem]
[alvorada] [jovem] [encontrar]
[jovem] [encontrar] [morto]
[encontrar] [morto] [dentro=de]
[morto] [dentro=de] [casa]
[dentro=de] [casa] [em]
[casa] [em] [alvorada=eduarda=paloma=dos=santos=lerner]
[em] [alvorada=eduarda=paloma=dos=santos=lerner] [ano]
[alvorada=eduarda=paloma=dos=santos=lerner] [ano] [conversar]
[ano] [conversar] [com]
[conversar] [com] [pessoa]
[com] [pessoa] [a]
[pessoa] [a] [telefone]
[a] [telefone] [quando]
[telefone] [quando] [de]
[quando] [de] [janela]
[de] [janela] [de]
[janela] [de] [casa]
[de] [casa] [ser]
[casa] [ser] [arrombar]
[ser] [arrombar] [pouco]
[arrombar] [pouco] [antes]
[pouco] [antes] [de]
[antes] [de] [meio]
[de] [meio] [noite]
[meio] [noite] [de]
[noite] [de] [quarta-feira]
[de] [quarta-feira] [agressor]
[quarta-feira] [agressor] [invadir]
[agressor] [invadir] [residência]
[invadir] [residência] [lutar]
[residência] [lutar] [com]
[lutar] [com] [eduarda]
[com] [eduarda] [deixar]
[eduarda] [deixar] [telefone]
[deixar] [telefone] [ainda]
[telefone] [ainda] [ligar]
[ainda] [ligar] [cair]
[ligar] [cair] [pessoa]
[cair] [pessoa] [com]
[pessoa] [com] [falar]
[com] [falar] [a]
[falar] [a] [telefone]
[a] [telefone] [ouvir]
[telefone] [ouvir] [grito]
[ouvir] [grito] [de]
[grito] [de] [jovem]
[de] [jovem] [ligar]
[jovem] [ligar] [para]
[ligar] [para] [pai]
[para] [pai] [de]
[pai] [de] [eduarda]
[de] [eduarda] [morar]
[eduarda] [morar] [em]
[morar] [em] [casa]
[em] [casa] [em]
[casa] [em] [parte]
[em] [parte] [de]
[parte] [de] [frente]
[de] [frente] [de]
[frente] [de] [terreno]
[de] [terreno] [a]
[terreno] [a] [chegar]
[a] [chegar] [em]
[chegar] [em] [casa]
[em] [casa] [de]
[casa] [de] [em]
[de] [em] [fundo]
[em] [fundo] [de]
[fundo] [de] [terreno]
[de] [terreno] [encontrar]
[terreno] [encontrar] [morto]
[encontrar] [morto] [sobre]
[morto] [sobre] [cama]
[sobre] [cama] [filho]
[cama] [filho] [de]
[filho] [de] [eduarda]
[de] [eduarda] [menino]
[eduarda] [menino] [de]
[menino] [de] [ano]
[de] [ano] [estar]
[ano] [estar] [debruçar]
[estar] [debruçar] [sobre]
[debruçar] [sobre] [corpo]
[sobre] [corpo] [de]
[corpo] [de] [mãe]
[de] [mãe] [suspeito]
[mãe] [suspeito] [de]
[suspeito] [de] [polícia=civil]
[de] [polícia=civil] [ser]
[polícia=civil] [ser] [de]
[ser] [de] [tratar]
[de] [tratar] [de]
[tratar] [de] [crime]
[de] [crime] [passional]
[crime] [passional] [familiar]
[passional] [familiar] [relatar]
[familiar] [relatar] [diverso]
[relatar] [diverso] [briga]
[diverso] [briga] [entre]
[briga] [entre] [jovem]
[entre] [jovem] [companheiro]
[jovem] [companheiro] [homem]
[companheiro] [homem] [de]
[homem] [de] [ano]
[de] [ano] [segundo]
[ano] [segundo] [policial]
[segundo] [policial] [jovem]
[policial] [jovem] [por]
[jovem] [por] [medo]
[por] [medo] [nunca]
[medo] [nunca] [ter]
[nunca] [ter] [registrar]
[ter] [registrar] [agressão]
[registrar] [agressão] [casal]
[agressão] [casal] [estar]
[casal] [estar] [separar]
[estar] [separar] [há]
[separar] [há] [mês]
[há] [mês] [durante]
[mês] [durante] [madrugada]
[durante] [madrugada] [de]
[madrugada] [de] [quinta-feira]
[de] [quinta-feira] [ser]
[quinta-feira] [ser] [fazer]
[ser] [fazer] [busca]
[fazer] [busca] [por]
[busca] [por] [suspeito]
[por] [suspeito] [não]
[suspeito] [não] [ser]
[não] [ser] [localizar]
[ser] [localizar] [em]
[localizar] [em] [quinta-feira]
[em] [quinta-feira] [caso]
[quinta-feira] [caso] [ser]
[caso] [ser] [encaminhar]
[ser] [encaminhar] [para]
[encaminhar] [para] [dp]
[para] [dp] [de]
[dp] [de] [imbé]

[texto77] [cadê] [aumentar]
[cadê] [aumentar] [furto]
[aumentar] [furto] [de]
[furto] [de] [veículo]
[de] [veículo] [em]
[veículo] [em] [capital=carros]
[em] [capital=carros] [fabricar]
[capital=carros] [fabricar] [antes]
[fabricar] [antes] [de]
[antes] [de] [ser]
[de] [ser] [alvo]
[ser] [alvo] [de]
[alvo] [de] [ladrão]
[de] [ladrão] [ter]
[ladrão] [ter] [facilidade]
[ter] [facilidade] [para]
[facilidade] [para] [furtar]
[para] [furtar] [repassar]
[furtar] [repassar] [desmanchar]
[repassar] [desmanchar] [crime]
[desmanchar] [crime] [aumentar]
[crime] [aumentar] [%]
[aumentar] [%] [em]
[%] [em] [último]
[em] [último] [ano]
[último] [ano] [carolina=rocha]
[ano] [carolina=rocha] [carolina.rocha@diariogaucho.com.br]
[carolina=rocha] [carolina.rocha@diariogaucho.com.br] [desde]
[carolina.rocha@diariogaucho.com.br] [desde] [tarde]
[desde] [tarde] [de]
[tarde] [de] [terça-feira]
[de] [terça-feira] [técnico]
[terça-feira] [técnico] [em]
[técnico] [em] [refrigeração]
[em] [refrigeração] [jairo=dos=santos=machado]
[refrigeração] [jairo=dos=santos=machado] [ano]
[jairo=dos=santos=machado] [ano] [contar]
[ano] [contar] [com]
[contar] [com] [ajuda]
[com] [ajuda] [de]
[ajuda] [de] [amigo]
[de] [amigo] [para]
[amigo] [para] [tentar]
[para] [tentar] [recuperar]
[tentar] [recuperar] [carro]
[recuperar] [carro] [fiorino]
[carro] [fiorino] [cinza]
[fiorino] [cinza] [placa]
[cinza] [placa] [afx-4473]
[placa] [afx-4473] [estacionar]
[afx-4473] [estacionar] [em]
[estacionar] [em] [rua=avaí]
[em] [rua=avaí] [em]
[rua=avaí] [em] [centro]
[em] [centro] [subir]
[centro] [subir] [em]
[subir] [em] [edifício]
[em] [edifício] [de]
[edifício] [de] [quadra]
[de] [quadra] [para]
[quadra] [para] [atender]
[para] [atender] [a]
[atender] [a] [cliente]
[a] [cliente] [quando]
[cliente] [quando] [descer]
[quando] [descer] [minuto]
[descer] [minuto] [depois]
[minuto] [depois] [não]
[depois] [não] [encontrar]
[não] [encontrar] [mais]
[encontrar] [mais] [carro]
[mais] [carro] [vaga]
[carro] [vaga] [já]
[vaga] [já] [estar]
[já] [estar] [ocupar]
[estar] [ocupar] [por]
[ocupar] [por] [jairo]
[por] [jairo] [fazer]
[jairo] [fazer] [parte]
[fazer] [parte] [de]
[parte] [de] [grupo]
[de] [grupo] [de]
[grupo] [de] [vítima]
[de] [vítima] [crescer]
[vítima] [crescer] [%]
[crescer] [%] [desde]
[%] [desde] [de]
[desde] [de] [dono]
[de] [dono] [ter]
[dono] [ter] [lata]
[ter] [lata] [velho]
[lata] [velho] [furtar]
[velho] [furtar] [em]
[furtar] [em] [capital]
[em] [capital] [carro]
[capital] [carro] [com]
[carro] [com] [mais=de]
[com] [mais=de] [ano]
[mais=de] [ano] [ser]
[ano] [ser] [muito]
[ser] [muito] [atrativo]
[muito] [atrativo] [para]
[atrativo] [para] [gatuno]
[para] [gatuno] [sem]
[gatuno] [sem] [alarme]
[sem] [alarme] [chave]
[alarme] [chave] [codificar]
[chave] [codificar] [tornar]
[codificar] [tornar] [muito]
[tornar] [muito] [fácil]
[muito] [fácil] [de]
[fácil] [de] [abrir]
[de] [abrir] [poder]
[abrir] [poder] [ser]
[poder] [ser] [ligar]
[ser] [ligar] [com]
[ligar] [com] [chamado]
[com] [chamado] [ligação]
[chamado] [ligação] [direto]
[ligação] [direto] [em]
[direto] [em] [média]
[em] [média] [a]
[média] [a] [hora]
[a] [hora] [minuto]
[hora] [minuto] [veículo]
[minuto] [veículo] [ser]
[veículo] [ser] [furtar]
[ser] [furtar] [em]
[furtar] [em] [capital]
[em] [capital] [quase]
